B100,B1001
B101,B1011
B102,B1021
B103,B1031
B104,B1041
B105,B1051
B106,B1061
B107,B1071
B108,B1081
B109,B1091
B110,B1101
B111,B1111
B112,B1121
B113,B1131
B114,B1141
B115,B1151
B116,B1161
B117,B1171
B118,B1181
B119,B1191
B120,B1201
B121,B1211
B122,B1221
B123,B1231
B124,B1241
B125,B1251
B126,B1261
B127,B1271
B128,B1281
B129,B1291
B130,B1301
B131,B1311
B132,B1321
B133,B1331
B134,B1341
B135,B1351
B136,B1361
B137,B1371
B138,B1381
B139,B1391
B140,B1401
B141,B1411
B142,B1421
B143,B1431
B144,B1441
B145,B1451
B146,B1461
B147,B1471
B148,B1481
B149,B1491
B150,B1501
B151,B1511
B152,B1521
B153,B1531
B154,B1541
B155,B1551
B156,B1561
B157,B1571
B158,B1581
B159,B1591
B160,B1601
B161,B1611
B162,B1621
B163,B1631
B164,B1641
B165,B1651
B166,B1661
B167,B1671
B168,B1681
B169,B1691
B170,B1701
B171,B1711
B172,B1721
B173,B1731
B174,B1741
B175,B1751
B176,B1761
B177,B1771
B178,B1781
B179,B1791
B180,B1801
B181,B1811
B182,B1821
B183,B1831
B184,B1841
B185,B1851
B186,B1861
B187,B1871
B188,B1881
B189,B1891
B190,B1901
B191,B1911
B192,B1921
B193,B1931
B194,B1941
B195,B1951
B196,B1961
B197,B1971
B198,B1981
B199,B1991
